
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
    74    27.000000      1.000000      28.000000   Etimer21         0     11100111001101001100110(11)300(27)0(28)0
    75    28.000000      1.000000      29.000000   Etimer22         0     11100111001101001100110(11)300(28)0(28)0
    76    28.000000      1.000000      29.000000   Etimer21         0     11100111001101001100110(11)300(28)0(29)0
    77    28.000000      1.000000      29.000000   Etimer18         0     11100111001101001100110(11)300(29)0(29)0
    78    28.000000      1.000000      29.000000   Etimer17         0     11100111001101001100110(11)400(29)0(29)0
    79    29.000000      1.000000      30.000000   Etimer22         0     11100111001101001100110(12)400(29)0(29)0
    80    29.000000      1.000000      30.000000   Etimer17         0     11100111001101001100110(12)400(29)0(30)0
    81    29.000000      1.000000      30.000000   Etimer21         0     11100111001101001100110(13)400(29)0(30)0
    82    29.000000      1.000000      30.000000   Etimer18         0     11100111001101001100110(13)400(30)0(30)0
    83    30.000000      1.000000      31.000000   Etimer21         0     11100111001101001100110(13)500(30)0(30)0
    84    30.000000      1.000000      31.000000   Etimer22         0     11100111001101001100110(13)500(31)0(30)0
    85    30.000000      1.000000      31.000000   Etimer18         0     11100111001101001100110(13)500(31)0(31)0
    86    30.000000      1.000000      31.000000   Etimer17         0     11100111001101001100110(13)600(31)0(31)0
    87    31.000000      1.000000      32.000000   Etimer21         0     11100111001101001100110(14)600(31)0(31)0
    88    31.000000      1.000000      32.000000   Etimer22         0     11100111001101001100110(14)600(32)0(31)0
    89    31.000000      1.000000      32.000000   Etimer18         0     11100111001101001100110(14)600(32)0(32)0
    90    31.000000      1.000000      32.000000   Etimer17         0     11100111001101001100110(14)700(32)0(32)0
    91    32.000000      1.000000      33.000000   Etimer17         0     11100111001101001100110(15)700(32)0(32)0
    92    32.000000      1.000000      33.000000   Etimer22         0     11100111001101001100110(16)700(32)0(32)0
    93    32.000000      1.000000      33.000000   Etimer18         0     11100111001101001100110(16)700(32)0(33)0
    94    32.000000      1.000000      33.000000   Etimer21         0     11100111001101001100110(16)800(32)0(33)0
    95    33.000000      1.000000      34.000000   Etimer21         0     11100111001101001100110(16)800(33)0(33)0
    96    33.000000      1.000000      34.000000   Etimer22         0     11100111001101001100110(16)800(34)0(33)0
    97    33.000000      1.000000      34.000000   Etimer17         0     11100111001101001100110(16)800(34)0(34)0
    98    33.000000      1.000000      34.000000   Etimer18         0     11100111001101001100110(17)800(34)0(34)0
    99    34.000000      1.000000      35.000000   Etimer21         0     11100111001101001100110(17)900(34)0(34)0
   100    34.000000      1.000000      35.000000   Etimer22         0     11100111001101001100110(17)900(35)0(34)0
   101    34.000000      1.000000      35.000000   Etimer17         0     11100111001101001100110(17)900(35)0(35)0
   102    34.000000      1.000000      35.000000   Etimer18         0     11100111001101001100110(18)900(35)0(35)0
   103    35.000000      1.000000      36.000000   Etimer17         0     11100111001101001100110(18)(10)00(35)0(35)0
   104    35.000000      1.000000      36.000000   Etimer21         0     11100111001101001100110(19)(10)00(35)0(35)0
   105    35.000000      1.000000      36.000000   Etimer22         0     11100111001101001100110(19)(10)00(36)0(35)0
   106    35.000000      1.000000      36.000000   Etimer18         0     11100111001101001100110(19)(10)00(36)0(36)0
   107    36.000000      1.000000      37.000000   Etimer18         0     11100111001101001100110(19)(11)00(36)0(36)0
   108    36.000000      1.000000      37.000000   Etimer22         0     11100111001101001100110(19)(12)00(36)0(36)0
   109    36.000000      1.000000      37.000000   Etimer17         0     11100111001101001100110(19)(12)00(36)0(37)0
   110    36.000000      1.000000      37.000000   Etimer21         0     11100111001101001100110(20)(12)00(36)0(37)0
   111    37.000000      1.000000      38.000000   Etimer21         0     11100111001101001100110(20)(12)00(37)0(37)0
   112    37.000000      1.000000      38.000000   Etimer22         0     11100111001101001100110(20)(12)00(38)0(37)0
   113    37.000000      1.000000      38.000000   Etimer17         0     11100111001101001100110(20)(12)00(38)0(38)0
   114    37.000000      1.000000      38.000000   Etimer18         0     11100111001101001100110(21)(12)00(38)0(38)0
   115    38.000000      1.000000      39.000000   Etimer18         0     11100111001101001100110(21)(13)00(38)0(38)0
   116    38.000000      1.000000      39.000000   Etimer17         0     11100111001101001100110(21)(14)00(38)0(38)0
   117    38.000000      1.000000      39.000000   Etimer22         0     11100111001101001100110(22)(14)00(38)0(38)0
   118    38.000000      1.000000      39.000000   Etimer21         0     11100111001101001100110(22)(14)00(38)0(39)0
   119    39.000000      1.000000      40.000000   Etimer17         0     11100111001101001100110(22)(14)00(39)0(39)0
   120    39.000000      1.000000      40.000000   Etimer22         0     11100111001101001100110(23)(14)00(39)0(39)0
   121    39.000000      1.000000      40.000000   Etimer21         0     11100111001101001100110(23)(14)00(39)0(40)0
   122    39.000000      1.000000      40.000000   Etimer18         0     11100111001101001100110(23)(14)00(40)0(40)0
   123    40.000000      1.000000      41.000000   Etimer17         0     11100111001101001100110(23)(15)00(40)0(40)0
